instance,ortools_mean,policy_mean,optimal_mean,ortools_std,policy_std,optimal_std,ortools_on_original,policy_on_original,ortools_300s_optimal_rate
ft06,69.3,74.4,61.0,9.121951545584968,10.423051376636307,8.414273587185052,55,67.0,1.0
la01,890.5,867.4,807.1,95.86683472400662,105.8179568882333,121.04747002725831,666,710.0,1.0
la06,1189.1,1125.5,1055.9,139.39616207055343,193.0374316033033,143.62203869880136,926,926.0,1.0
la11,1503.7,1381.3,1311.8,132.8209697299338,140.41798317879372,184.06346731494548,1222,1228.0,1.0
la21,1448.0,1441.0,1132.7,105.48744001064772,124.95839307545532,78.59777350536082,1046,1380.0,1.0
la31,2454.6,2294.4,2049.8,117.1965869810209,175.61047804729648,191.4485831757446,1784,1969.0,1.0
la36,1829.7,1764.5,1404.6,104.93050080886873,102.74361294017258,49.4796928042202,1268,1556.0,1.0
orb01,1430.9,1528.2,1070.7,75.78713611161199,108.01185120161584,69.00731845246561,1059,1341.0,1.0
yn1,1288.6,1307.8,977.1,50.8865404601256,62.505679741924254,28.85290280023832,898,1169.0,0.3
swv01,1963.8,2242.5,1535.3,173.81587959677333,182.2532578583988,182.62039864155372,1429,2008.0,0.7
swv06,2474.4,2720.3,1831.8,62.89069883536039,117.79053442446045,75.67800208779299,1712,2419.0,0.1
swv11,4291.1,4741.2,3237.5,162.38007882742266,167.7359830209368,135.65415585229962,3207,4509.0,0.1
swv12,4543.9,4958.1,3431.4,193.57450761915942,254.73965140904153,166.6926513077286,3237,4686.0,0.3
swv13,4614.1,5209.0,3595.2,130.06340761336372,202.83490823820242,244.26002538278752,3277,4873.0,0.5
swv14,4300.2,4788.1,3159.3,115.41039814505451,189.59665081430103,140.01146381636042,3142,4572.0,0.3
swv15,4117.3,4870.7,3134.2,119.25355340617739,142.67799409859953,113.20759691822806,3047,4766.0,0.4
