,machine_id,start,job,index,duration
0,0,20,2,1,83
1,0,103,1,2,12
2,0,125,11,2,58
3,0,183,13,2,80
4,0,266,10,2,20
5,0,305,6,4,46
6,0,351,8,2,78
7,0,429,7,6,87
8,0,573,5,8,95
9,0,668,4,5,44
10,0,712,9,7,69
11,0,781,12,7,42
12,0,823,0,6,53
13,0,876,3,9,93
14,0,969,14,9,75
15,1,0,2,0,19
16,1,19,8,0,28
17,1,47,13,0,12
18,1,59,10,0,31
19,1,115,1,3,42
20,1,254,7,4,45
21,1,392,5,5,7
22,1,426,11,7,72
23,1,499,9,4,74
24,1,573,3,6,87
25,1,671,6,9,91
26,1,762,14,6,41
27,1,846,12,8,46
28,1,907,4,8,49
29,1,956,0,8,21
30,2,1,0,0,34
31,2,39,1,1,31
32,2,70,7,2,39
33,2,109,9,0,94
34,2,203,3,1,87
35,2,290,10,3,17
36,2,307,13,3,50
37,2,357,5,4,35
38,2,403,11,6,23
39,2,426,4,2,98
40,2,525,8,4,37
41,2,562,14,4,50
42,2,612,6,8,59
43,2,927,2,8,64
44,2,1019,12,9,17
45,3,0,1,0,39
46,3,40,0,1,55
47,3,118,14,1,55
48,3,173,2,2,34
49,3,238,6,2,16
50,3,304,11,5,99
51,3,430,3,4,69
52,3,499,8,3,26
53,3,525,7,7,41
54,3,568,13,5,19
55,3,587,9,5,27
56,3,620,4,4,17
57,3,637,12,6,48
58,3,773,5,9,76
59,3,849,10,7,87
60,4,1,6,0,28
61,4,37,7,1,20
62,4,57,14,0,61
63,4,118,3,0,60
64,4,183,11,3,45
65,4,228,10,1,24
66,4,252,2,3,92
67,4,344,12,4,98
68,4,463,5,7,61
69,4,524,4,3,96
70,4,620,1,8,55
71,4,675,0,4,21
72,4,696,13,8,94
73,4,905,9,9,96
74,4,1013,8,9,33
75,5,0,11,0,28
76,5,28,7,0,9
77,5,37,12,0,27
78,5,64,6,1,59
79,5,123,0,2,95
80,5,218,9,1,84
81,5,302,14,3,14
82,5,316,8,1,33
83,5,353,3,3,77
84,5,435,5,6,28
85,5,483,1,7,98
86,5,587,13,6,28
87,5,724,10,6,76
88,5,890,2,7,37
89,5,1001,4,9,25
90,6,109,7,3,54
91,6,163,5,2,9
92,6,173,14,2,37
93,6,228,11,4,76
94,6,304,9,2,78
95,6,382,1,6,77
96,6,459,6,6,52
97,6,511,2,4,54
98,6,565,12,5,67
99,6,632,13,7,63
100,6,695,3,7,41
101,6,736,0,5,71
102,6,807,4,7,75
103,6,882,8,7,89
104,6,977,10,9,18
105,7,35,5,1,95
106,7,200,12,3,62
107,7,299,7,5,71
108,7,499,3,5,38
109,7,537,6,7,27
110,7,564,8,5,8
111,7,588,11,9,86
112,7,675,1,9,66
113,7,741,4,6,43
114,7,784,9,8,45
115,7,829,13,9,98
116,7,927,14,8,18
117,7,945,10,8,32
118,7,977,0,9,26
119,7,1003,2,9,43
120,8,0,5,0,35
121,8,35,4,0,79
122,8,114,13,1,50
123,8,173,12,2,27
124,8,252,1,5,77
125,8,329,3,2,24
126,8,362,6,5,50
127,8,412,10,5,81
128,8,498,11,8,90
129,8,614,9,6,69
130,8,683,14,5,79
131,8,762,8,6,66
132,8,828,2,6,62
133,8,894,0,7,52
134,8,946,7,9,14
135,9,28,11,1,97
136,9,125,12,1,48
137,9,173,1,4,79
138,9,252,5,3,10
139,9,262,6,3,43
140,9,305,4,1,77
141,9,382,10,4,25
142,9,407,9,3,81
143,9,488,13,4,80
144,9,568,0,3,16
145,9,584,2,5,79
146,9,708,7,8,43
147,9,751,3,8,83
148,9,834,14,7,72
149,9,971,8,8,42
