instance,ortools_mean,ortools_std,policy_mean,policy_std,ortools_on_original,policy_on_original
ft06,64.9,6.594694837519019,66.4,8.321057625085889,55.0,68
la01,831.5,85.78257398796097,822.7,119.6720936559564,666.0,751
la06,1127.4,114.13343068531674,1038.8,115.39653374343617,926.0,937
la11,1616.4,81.97097047125891,1420.1,138.4770378077174,1222.0,1257
la21,1509.7,79.58398080015851,1461.2,103.3845249541729,1046.0,1297
la31,2499.8,102.37265259824032,2261.0,163.3168699185727,1784.0,1951
la36,1786.9,123.3373017379576,1889.8,262.573722980804,1268.0,1778
orb01,1444.9,104.66465497005184,1277.9,94.38479750468292,1059.0,1330
swv01,1967.6,85.63317114296304,1828.0,167.69317219254933,1432.0,1737
swv06,2547.8,131.082264246541,2367.5,94.2817585750287,1763.0,2140
swv11,4578.9,178.5152374448747,3589.6,253.6691546089118,3325.0,3714
yn1,1298.7,52.14796256806204,1409.8,72.10242714361286,900.0,1188
