instance,ortools_mean,policy_mean,optimal_mean,ortools_std,policy_std,optimal_std,ortools_on_original,policy_on_original,ortools_300s_optimal_rate
ft06,69.3,60.0,61.0,9.121951545584968,0.0,8.414273587185052,55,60,1.0
orb01,1430.9,1355.0,1070.7,75.78713611161199,0.0,69.00731845246561,1059,1355,1.0
swv01,1963.8,1701.0,1535.3,173.81587959677333,0.0,182.6203986415537,1429,1701,0.7
swv06,2474.4,2154.0,1831.8,62.89069883536039,0.0,75.67800208779299,1712,2154,0.1
swv11,4291.1,3504.0,3237.5,162.38007882742266,0.0,135.65415585229962,3207,3504,0.1
yn1,1288.6,1185.0,977.1,50.8865404601256,0.0,28.85290280023832,898,1185,0.3
swv12,4543.9,3731.0,3431.4,193.57450761915945,0.0,166.6926513077286,3237,3731,0.3
swv13,4614.1,3813.0,3595.2,130.06340761336372,0.0,244.26002538278752,3277,3813,0.5
swv14,4300.2,3610.0,3159.3,115.41039814505451,0.0,140.01146381636042,3142,3610,0.3
swv15,4117.3,3256.0,3134.2,119.2535534061774,0.0,113.20759691822806,3047,3256,0.4
ft06,69.3,73.3,61.0,9.121951545584968,8.450443775329198,8.414273587185052,55,60,1.0
swv01,1963.8,2004.2,1535.3,173.81587959677333,165.98120375512403,182.6203986415537,1429,1701,0.7
ft06,69.3,73.3,61.0,9.121951545584968,8.450443775329198,8.414273587185052,55,60,1.0
orb01,1430.9,1388.4,1070.7,75.78713611161199,127.29273349252894,69.00731845246561,1059,1355,1.0
swv01,1963.8,2004.2,1535.3,173.81587959677333,165.98120375512403,182.62039864155372,1429,1701,0.7
swv06,2474.4,2515.1,1831.8,62.89069883536039,121.3700539671957,75.67800208779299,1712,2154,0.1
swv11,4291.1,3884.3,3237.5,162.38007882742266,210.95262501329532,135.65415585229962,3207,3504,0.1
yn1,1288.6,1253.2,977.1,50.8865404601256,59.51940859921241,28.85290280023832,898,1185,0.3
swv12,4543.9,4114.8,3431.4,193.57450761915942,260.0764502987535,166.6926513077286,3237,3731,0.3
swv13,4614.1,4065.9,3595.2,130.06340761336372,259.24214549335915,244.26002538278752,3277,3813,0.5
swv14,4300.2,3831.8,3159.3,115.41039814505451,194.249736164557,140.01146381636042,3142,3610,0.3
swv15,4117.3,4019.2,3134.2,119.25355340617739,297.1328995584299,113.20759691822806,3047,3256,0.4
