instance,ortools_mean,policy_mean,optimal_mean,ortools_std,policy_std,optimal_std,ortools_on_original,policy_on_original,ortools_300s_optimal_rate
ft06,68.7,71.0,62.3,8.989438247187639,9.16515138991168,8.672369918309528,55.0,68,1.0
la01,871.5,897.2,765.7,91.30087622799685,157.47114021305617,113.89122003034299,666.0,751,1.0
la06,1228.5,1022.1,966.9,98.58321358121776,128.97709098905898,118.46134390593414,926.0,960,1.0
la11,1615.6,1359.2,1305.3,131.87054257869724,57.22551878314429,86.06282588899809,1222.0,1224,1.0
la21,1469.7,1457.2,1176.5,139.900714794457,118.38986443103987,97.39840861122937,1046.0,1297,1.0
la31,2469.0,2263.3,1972.9,95.10625636623492,148.69367841303813,133.5143812478641,1784.0,1951,1.0
la36,1749.6,1779.3,1332.4,67.30557183472999,92.36454947651723,65.15243663900837,1268.0,1778,1.0
orb01,1441.2,1332.8,1104.9,74.29643329258815,84.5574361011496,49.886771793733054,1059.0,1478,1.0
yn1,1288.1,1247.2,963.2,51.28830275998612,96.92553843028163,33.70993918712996,892.0,1164,0.3
swv01,1975.0,1760.2,1466.9,140.38091038314292,134.75963787425374,92.57153990293129,1432.0,1737,0.5
swv06,2429.4,2279.3,1776.6,91.9980434574562,126.96145084237182,53.464380666009774,1742.0,2140,0.0
