instance,ortools_mean,policy_mean,optimal_mean,ortools_std,policy_std,optimal_std,ortools_on_original,policy_on_original,ortools_300s_optimal_rate
ft06,69.3,74.6,61.0,9.121951545584968,9.76933979345585,8.414273587185052,55,65,1.0
la01,890.5,958.9,807.1,95.86683472400662,140.87757096145575,121.04747002725831,666,675,1.0
la06,1189.1,1122.9,1055.9,139.39616207055343,172.51982494774333,143.62203869880136,926,967,1.0
la11,1503.7,1410.5,1311.8,132.8209697299338,145.31224999978494,184.06346731494548,1222,1259,1.0
la21,1448.0,1497.2,1132.7,105.48744001064772,103.22189690177177,78.59777350536082,1046,1234,1.0
la31,2454.6,2296.9,2049.8,117.1965869810209,207.3839193380239,191.4485831757446,1784,1819,1.0
la36,1829.7,1731.2,1404.6,104.93050080886873,111.63494076676889,49.4796928042202,1268,1453,1.0
orb01,1430.9,1435.0,1070.7,75.78713611161199,142.08588951757315,69.00731845246561,1059,1139,1.0
swv01,1963.8,2029.7,1535.3,173.81587959677333,281.56919220681795,182.62039864155372,1429,1635,0.7
swv06,2474.4,2451.6,1831.8,62.89069883536039,196.17706287943042,75.67800208779299,1712,2077,0.1
