instance,ortools_mean,policy_mean,optimal_mean,ortools_std,policy_std,optimal_std,ortools_on_original,policy_on_original,ortools_300s_optimal_rate
ft06,69.3,74.5,61.0,9.121951545584968,14.136831328130077,8.414273587185052,55,59,1.0
la01,890.5,972.6,807.1,95.86683472400662,88.7504366186443,121.04747002725831,666,675,1.0
la06,1189.1,1112.1,1055.9,139.39616207055343,118.75895755689336,143.62203869880136,926,938,1.0
la11,1503.7,1383.4,1311.8,132.8209697299338,189.5891347097718,184.06346731494548,1222,1222,1.0
la21,1448.0,1476.9,1132.7,105.48744001064772,124.5194362338667,78.59777350536082,1046,1221,1.0
la31,2454.6,2198.3,2049.8,117.1965869810209,162.6142982643285,191.4485831757446,1784,1817,1.0
la36,1829.7,1722.4,1404.6,104.93050080886871,102.66761904320174,49.4796928042202,1268,1424,1.0
orb01,1430.9,1442.0,1070.7,75.78713611161199,92.93976543977288,69.00731845246561,1059,1134,1.0
swv01,1963.8,1978.9,1535.3,173.81587959677333,246.9244621336655,182.6203986415537,1429,1668,0.7
swv06,2474.4,2371.0,1831.8,62.89069883536039,117.5848629713876,75.67800208779299,1712,2077,0.1
swv11,4291.1,3977.5,3237.5,162.38007882742266,307.2826874394325,135.65415585229962,3207,3403,0.1
yn1,1288.6,1243.1,977.1,50.8865404601256,76.8823126603252,28.85290280023832,898,1045,0.3
ft06,69.3,74.5,61.0,9.121951545584968,14.136831328130077,8.414273587185052,55,59,1.0
la01,890.5,972.6,807.1,95.86683472400662,88.7504366186443,121.04747002725831,666,675,1.0
la06,1189.1,1112.1,1055.9,139.39616207055343,118.75895755689336,143.62203869880136,926,938,1.0
la11,1503.7,1383.4,1311.8,132.8209697299338,189.5891347097718,184.06346731494548,1222,1222,1.0
la21,1448.0,1476.9,1132.7,105.48744001064772,124.5194362338667,78.59777350536082,1046,1221,1.0
la31,2454.6,2198.3,2049.8,117.1965869810209,162.6142982643285,191.4485831757446,1784,1817,1.0
la36,1829.7,1722.4,1404.6,104.93050080886873,102.66761904320174,49.4796928042202,1268,1424,1.0
orb01,1430.9,1442.0,1070.7,75.78713611161199,92.93976543977287,69.00731845246561,1059,1134,1.0
swv01,1963.8,1978.9,1535.3,173.81587959677333,246.9244621336655,182.62039864155372,1429,1668,0.7
swv06,2474.4,2371.0,1831.8,62.89069883536039,117.58486297138761,75.67800208779299,1712,2077,0.1
swv11,4291.1,3977.5,3237.5,162.38007882742266,307.28268743943255,135.65415585229962,3207,3403,0.1
yn1,1288.6,1243.1,977.1,50.8865404601256,76.8823126603252,28.85290280023832,898,1045,0.3
