,machine_id,start,job,index,duration
0,0,1,0,1,3
1,0,13,3,1,5
2,0,19,2,3,9
3,0,28,5,3,10
4,0,38,1,4,10
5,0,48,4,4,3
6,1,0,1,0,8
7,1,8,3,0,5
8,1,13,5,0,3
9,1,16,0,2,6
10,1,22,4,1,3
11,1,35,2,4,1
12,2,0,0,0,1
13,2,2,2,0,5
14,2,8,1,1,5
15,2,13,4,0,9
16,2,22,3,2,5
17,2,53,5,5,1
18,3,7,2,1,4
19,3,16,5,1,3
20,3,27,3,3,3
21,3,30,0,3,7
22,3,48,1,5,4
23,3,52,4,5,1
24,4,13,1,2,10
25,4,25,4,2,5
26,4,30,3,4,8
27,4,38,5,4,4
28,4,42,0,5,6
29,4,48,2,5,7
30,5,11,2,2,8
31,5,19,5,2,9
32,5,28,1,3,10
33,5,38,0,4,3
34,5,41,4,3,4
35,5,45,3,5,9
