,machine_id,start,job,index,duration
0,0,0,11,0,61
1,0,61,2,1,12
2,0,73,14,0,87
3,0,160,6,0,93
4,0,253,13,2,28
5,0,281,9,0,96
6,0,377,0,3,53
7,0,430,1,4,21
8,0,451,5,2,92
9,0,543,8,3,44
10,0,587,3,3,55
11,0,642,7,0,60
12,0,702,10,2,95
13,0,797,12,4,46
14,0,843,4,4,83
15,1,0,0,0,21
16,1,73,2,2,42
17,1,115,13,1,52
18,1,167,14,1,45
19,1,212,4,3,19
20,1,231,1,2,71
21,1,302,11,3,9
22,1,311,3,1,77
23,1,388,5,1,54
24,1,442,6,2,87
25,1,529,12,2,91
26,1,620,8,4,49
27,1,702,7,1,41
28,1,743,9,3,75
29,1,873,10,4,7
30,2,0,2,0,31
31,2,31,0,1,34
32,2,65,10,1,35
33,2,100,5,0,43
34,2,143,4,2,64
35,2,207,11,2,95
36,2,302,13,3,27
37,2,329,14,2,39
38,2,368,1,3,26
39,2,394,8,0,98
40,2,620,12,3,59
41,2,679,3,4,66
42,2,745,7,2,38
43,2,783,6,4,87
44,2,870,9,4,43
45,3,0,3,0,77
46,3,77,4,1,34
47,3,111,1,0,52
48,3,163,2,3,39
49,3,202,12,1,16
50,3,253,6,1,69
51,3,322,11,4,35
52,3,357,13,4,50
53,3,407,14,4,41
54,3,492,8,1,17
55,3,509,0,4,55
56,3,564,5,3,62
57,3,626,9,2,79
58,3,797,10,3,76
59,3,873,7,4,24
60,4,0,10,0,28
61,4,28,4,0,37
62,4,65,13,0,43
63,4,108,11,1,10
64,4,118,12,0,59
65,4,177,1,1,16
66,4,193,0,2,95
67,4,288,2,4,98
68,4,386,14,3,9
69,4,395,3,2,79
70,4,509,8,2,25
71,4,534,9,1,77
72,4,627,5,4,79
73,4,706,6,3,77
74,4,783,7,3,83
