,machine_id,start,job,index,duration
0,0,0,3,0,8
1,0,8,5,0,53
2,0,61,1,0,61
3,0,125,6,2,99
4,0,224,7,1,19
5,0,243,4,1,94
6,0,337,9,1,60
7,0,397,0,0,72
8,0,469,2,0,86
9,0,555,8,3,38
10,1,0,4,0,50
11,1,50,3,1,82
12,1,164,5,4,68
13,1,232,6,3,14
14,1,246,8,1,99
15,1,345,1,4,49
16,1,401,7,4,84
17,1,485,0,1,64
18,1,549,9,5,85
19,1,634,2,2,35
20,2,0,6,0,29
21,2,29,7,0,90
22,2,119,5,2,7
23,2,126,8,0,97
24,2,223,9,0,44
25,2,267,1,3,78
26,2,346,3,6,33
27,2,549,0,2,55
28,2,604,4,6,5
29,2,669,2,3,37
30,3,29,6,1,96
31,3,125,1,1,27
32,3,152,5,3,12
33,3,164,3,3,99
34,3,263,7,2,87
35,3,389,4,3,62
36,3,451,9,3,5
37,3,555,2,1,32
38,3,604,0,3,31
39,3,706,8,6,40
40,4,132,3,2,27
41,4,159,1,2,88
42,4,247,6,4,34
43,4,319,5,6,28
44,4,350,7,3,51
45,4,401,8,2,93
46,4,494,4,4,55
47,4,634,9,6,34
48,4,668,0,4,53
49,4,724,2,5,48
50,5,295,6,6,7
51,5,337,3,5,9
52,5,346,4,2,43
53,5,394,1,5,83
54,5,477,5,9,7
55,5,485,7,5,45
56,5,610,8,5,96
57,5,706,2,4,18
58,5,724,0,5,95
59,5,830,9,9,47
60,6,61,5,1,30
61,6,263,3,4,74
62,6,337,6,7,76
63,6,456,9,4,74
64,6,574,1,7,74
65,6,648,7,7,58
66,6,706,4,9,36
67,6,772,2,6,91
68,6,863,0,6,11
69,6,894,8,8,32
70,7,281,6,5,14
71,7,417,5,8,45
72,7,462,3,8,59
73,7,549,4,5,48
74,7,597,8,4,13
75,7,648,1,8,29
76,7,677,9,7,95
77,7,772,7,8,81
78,7,863,2,7,52
79,7,915,0,7,52
80,8,232,5,5,87
81,8,397,9,2,29
82,8,426,6,8,57
83,8,483,1,6,91
84,8,609,4,7,36
85,8,645,3,9,98
86,8,853,7,9,96
87,8,967,0,8,6
88,8,973,8,9,45
89,8,1018,2,9,30
90,9,347,5,7,70
91,9,417,3,7,20
92,9,483,6,9,76
93,9,559,7,6,84
94,9,645,4,8,47
95,9,692,1,9,87
96,9,779,9,8,51
97,9,830,8,7,64
98,9,915,2,8,60
99,9,975,0,9,84
