,machine_id,start,job,index,duration
0,0,38,17,1,27
1,0,73,8,3,49
2,0,122,19,3,28
3,0,151,2,4,35
4,0,186,11,5,28
5,0,214,14,4,49
6,0,263,0,7,45
7,0,407,1,14,16
8,0,440,15,8,19
9,0,459,18,7,24
10,0,486,12,11,11
11,0,497,9,13,31
12,0,548,5,12,12
13,0,594,16,14,41
14,0,635,10,13,18
15,0,715,6,17,31
16,0,770,4,17,12
17,0,782,3,17,32
18,0,837,7,18,33
19,0,873,13,19,21
20,1,0,18,0,17
21,1,19,16,1,27
22,1,48,11,1,39
23,1,87,4,1,23
24,1,110,12,1,32
25,1,145,7,2,13
26,1,165,17,6,14
27,1,183,19,5,43
28,1,236,2,6,44
29,1,324,6,10,17
30,1,365,15,5,13
31,1,378,1,13,29
32,1,467,9,12,27
33,1,505,13,11,47
34,1,552,0,14,40
35,1,623,3,15,41
36,1,664,10,14,16
37,1,710,8,15,34
38,1,744,5,16,32
39,1,842,14,19,33
40,2,13,0,1,26
41,2,48,5,1,34
42,2,87,11,2,21
43,2,119,1,5,46
44,2,165,19,4,18
45,2,183,12,2,11
46,2,206,6,6,40
47,2,246,7,4,33
48,2,279,3,6,35
49,2,314,8,8,27
50,2,341,15,4,24
51,2,442,9,11,25
52,2,467,10,11,48
53,2,515,4,11,40
54,2,567,13,13,26
55,2,605,18,13,37
56,2,645,2,17,27
57,2,676,17,16,30
58,2,742,16,18,10
59,2,754,14,16,20
60,3,39,2,1,28
61,3,82,5,2,22
62,3,109,3,2,34
63,3,143,14,3,47
64,3,190,6,5,16
65,3,222,13,4,49
66,3,271,1,10,11
67,3,282,10,9,30
68,3,312,19,8,30
69,3,342,0,8,16
70,3,367,8,10,47
71,3,435,16,9,30
72,3,465,11,12,39
73,3,552,18,11,30
74,3,582,15,12,10
75,3,592,17,14,48
76,3,640,12,17,22
77,3,746,9,16,26
78,3,835,4,19,30
79,3,870,7,19,28
80,4,0,2,0,39
81,4,39,3,0,31
82,4,76,0,3,45
83,4,158,10,5,13
84,4,179,17,7,37
85,4,283,6,8,10
86,4,293,1,11,21
87,4,316,18,4,34
88,4,412,9,10,30
89,4,485,4,10,20
90,4,505,16,11,16
91,4,528,5,11,20
92,4,548,11,14,49
93,4,669,15,14,39
94,4,716,7,15,14
95,4,731,14,15,23
96,4,754,13,18,14
97,4,768,8,17,30
98,4,798,12,18,12
99,4,853,19,19,34
100,5,0,11,0,48
101,5,48,6,1,33
102,5,81,1,3,28
103,5,110,4,2,34
104,5,144,15,1,48
105,5,192,7,3,22
106,5,219,16,4,45
107,5,264,14,5,16
108,5,280,18,3,36
109,5,316,17,10,27
110,5,414,8,11,37
111,5,451,12,10,22
112,5,508,3,11,10
113,5,582,2,15,27
114,5,609,5,13,40
115,5,679,13,16,18
116,5,697,0,17,48
117,5,745,19,16,33
118,5,808,9,18,24
119,5,834,10,17,21
120,6,21,1,1,22
121,6,84,9,3,18
122,6,102,7,1,43
123,6,145,3,3,44
124,6,237,10,8,33
125,6,270,11,8,24
126,6,294,12,6,26
127,6,320,2,9,23
128,6,350,16,7,48
129,6,398,13,8,31
130,6,429,5,8,32
131,6,461,8,12,19
132,6,480,6,12,44
133,6,524,18,9,14
134,6,592,0,15,16
135,6,640,17,15,36
136,6,676,14,13,36
137,6,712,15,15,42
138,6,778,19,17,20
139,6,798,4,18,37
140,7,0,8,0,14
141,7,32,9,1,22
142,7,104,5,3,14
143,7,127,17,4,17
144,7,167,4,4,41
145,7,208,0,6,40
146,7,248,15,3,42
147,7,290,7,5,28
148,7,329,11,10,22
149,7,351,10,10,46
150,7,398,16,8,37
151,7,435,3,9,46
152,7,481,13,10,24
153,7,505,12,12,24
154,7,529,2,13,27
155,7,582,1,18,28
156,7,712,14,14,19
157,7,746,6,18,36
158,7,817,19,18,35
159,7,852,18,19,46
160,8,0,1,0,21
161,8,54,8,2,19
162,8,73,2,2,32
163,8,105,16,2,39
164,8,234,11,7,36
165,8,272,19,7,39
166,8,311,5,6,45
167,8,472,4,9,13
168,8,503,0,13,25
169,8,528,15,11,42
170,8,577,12,14,11
171,8,593,13,14,40
172,8,633,14,12,32
173,8,665,7,13,29
174,8,694,6,16,21
175,8,715,10,15,25
176,8,740,3,16,34
177,8,774,18,16,40
178,8,814,17,18,26
179,8,840,9,19,43
180,9,0,7,0,20
181,9,20,6,0,19
182,9,57,18,2,16
183,9,97,17,3,30
184,9,144,4,3,23
185,9,167,8,6,47
186,9,214,9,6,22
187,9,236,12,4,41
188,9,294,11,9,35
189,9,329,14,7,43
190,9,378,15,6,30
191,9,412,2,11,15
192,9,521,3,12,24
193,9,552,13,12,15
194,9,572,19,14,16
195,9,610,1,19,39
196,9,649,5,14,33
197,9,721,16,17,21
198,9,745,0,18,36
199,9,857,10,18,27
200,10,17,18,1,40
201,10,57,19,1,28
202,10,85,3,1,24
203,10,109,1,4,10
204,10,119,13,1,24
205,10,143,8,5,13
206,10,192,15,2,31
207,10,246,6,7,37
208,10,283,2,7,20
209,10,304,16,6,46
210,10,350,17,11,25
211,10,375,9,9,37
212,10,435,0,11,43
213,10,478,14,9,25
214,10,503,7,10,47
215,10,588,12,15,34
216,10,697,11,17,46
217,10,743,4,16,27
218,10,776,5,17,15
219,10,791,10,16,43
220,11,0,14,0,41
221,11,41,0,2,35
222,11,76,15,0,37
